gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,LOEUF_v4
CSF2,Cytokines/growth factors,Not classified,0.505,0.83468,0.012213,1.0,1.15807,0.0,0.619
IL1R1,Cytokines/growth factors,Not classified,0.506,0.15126,0.011306,54.0,188.511,31.099400000000003,0.629
IL1R1,Cytokines/growth factors,Not classified,0.506,0.15126,0.011306,54.0,188.511,31.099400000000003,0.629
NGF,Cytokines/growth factors,Syndromic/developmental,0.528,0.82026,0.006879,43.0,33.4683,2.912185,0.67
NGF,Cytokines/growth factors,Syndromic/developmental,0.528,0.82026,0.006879,43.0,33.4683,2.912185,0.67
NTRK1,Cytokines/growth factors,Syndromic/developmental,0.658,2e-06,0.006605,20.0,5.67394,0.6308929999999999,0.954
NTRK1,Cytokines/growth factors,Syndromic/developmental,0.658,2e-06,0.006605,20.0,5.67394,0.6308929999999999,0.954
IL6,Cytokines/growth factors,Not classified,0.753,0.31536,0.006022,34.0,54.435,1.45554,0.881
IL6,Cytokines/growth factors,Not classified,0.753,0.31536,0.006022,34.0,54.435,1.45554,0.881
IL6R,Cytokines/growth factors,Not classified,0.813,3.2e-05,0.007851,54.0,67.242,10.070495,0.965
IL6R,Cytokines/growth factors,Not classified,0.813,3.2e-05,0.007851,54.0,67.242,10.070495,0.965
IL12A,Cytokines/growth factors,Not classified,0.815,0.04746,0.001582,23.0,7.35502,0.8184945,1.132
IL12A,Cytokines/growth factors,Not classified,0.815,0.04746,0.001582,23.0,7.35502,0.8184945,1.132
IL10,Cytokines/growth factors,Not classified,1.039,0.005887,0.000821,12.0,8.84863,0.274526,0.711
IL10,Cytokines/growth factors,Not classified,1.039,0.005887,0.000821,12.0,8.84863,0.274526,0.711
IL1A,Cytokines/growth factors,Not classified,1.309,0.00016,0.009477,5.0,18.273,0.0817587499999999,0.922
IL1A,Cytokines/growth factors,Not classified,1.309,0.00016,0.009477,5.0,18.273,0.0817587499999999,0.922
IL8,Cytokines/growth factors,Not classified,1.861,0.000274,0.000821,,,,
CFLAR,Apoptosis/cell death,Other Mendelian,0.173,0.99967,0.000446,54.0,68.0345,26.4796,0.397
CFLAR,Apoptosis/cell death,Other Mendelian,0.173,0.99967,0.000446,54.0,68.0345,26.4796,0.397
MCL1,Apoptosis/cell death,Not classified,0.29,0.96349,0.0,54.0,474.739,181.2355,0.395
MCL1,Apoptosis/cell death,Not classified,0.29,0.96349,0.0,54.0,474.739,181.2355,0.395
BCL2L1,Apoptosis/cell death,Not classified,0.341,0.93667,0.001714,54.0,185.28,82.8615,0.261
BCL2L1,Apoptosis/cell death,Not classified,0.341,0.93667,0.001714,54.0,185.28,82.8615,0.261
