gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,tau,n_expr,max_tissue,gtex_tissue_category,kegg_primary_pathway
BBC3,Apoptosis/cell death,Not classified,1.589,0.003976,0.000238,54.0,18.8635,6.668480000000001,0.34370819094045146,54.0,Brain - Cerebellar Hemisphere,Housekeeping,Apoptosis
PMAIP1,Apoptosis/cell death,Not classified,1.848,0.11182,0.003967,37.0,188.434,1.551155,0.790102335695914,37.0,Cells - EBV-transformed lymphocytes,Immune-restricted,Apoptosis
BID,Apoptosis/cell death,Not classified,1.917,0.0,0.003171,54.0,74.762,13.7229,0.36521989659338827,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,Apoptosis
MSN,Other,Not classified,0.13,0.99967,0.003457,54.0,365.937,93.5317,0.24697948810626935,54.0,Lung,Housekeeping,Other (in KEGG)
PPP3CA,Other,Other Mendelian,0.158,0.99988,0.001635,54.0,183.152,22.0106,0.38772953160960993,54.0,Brain - Cerebellar Hemisphere,Housekeeping,MAPK signaling
PTGS2,Other,Not classified,0.263,0.99597,0.036779,43.0,21.8843,1.727645,0.6300283030277234,43.0,Lung,Other-restricted,NF-kB signaling
CDH2,Other,Not classified,0.29,0.99171,0.0,41.0,67.453,6.6237200000000005,0.5567526791406003,41.0,Heart - Left Ventricle,Broad,Other (in KEGG)
PTGER4,Other,Not classified,0.3,0.9755,0.013502,40.0,24.3929,5.3776150000000005,0.4983623658664296,40.0,Lung,Broad,Other (in KEGG)
PIAS3,Other,Not classified,0.301,0.98499,0.0,54.0,104.672,37.98775,0.2545572864652085,54.0,Cervix - Endocervix,Housekeeping,JAK-STAT signaling
RDX,Other,Not classified,0.348,0.85245,0.000864,54.0,182.218,25.14315,0.3747130442100861,54.0,Adrenal Gland,Housekeeping,Other (in KEGG)
SPTLC2,Other,Other Mendelian,0.39,0.78035,0.009789,54.0,49.8686,13.103000000000002,0.34163450615146324,54.0,Brain - Spinal cord (cervical c-1),Housekeeping,Other (in KEGG)
CCND1,Other,Not classified,0.41,0.89057,0.00252,53.0,202.003,22.40565,0.40493538497139697,53.0,Cells - Cultured fibroblasts,Broad,PI3K-Akt signaling
GUCY1A2,Other,Not classified,0.434,0.31409,0.012109,39.0,16.0488,1.581515,0.626837625954895,39.0,Uterus,Reproductive-restricted,Other (in KEGG)
GAB1,Other,Not classified,0.439,0.18433,0.035806,54.0,41.299,8.220265000000001,0.40491111999209534,54.0,Nerve - Tibial,Broad,Other (in KEGG)
EZR,Other,Not classified,0.44,0.17989,0.000864,54.0,351.107,80.3966,0.2389664282325373,54.0,Esophagus - Mucosa,Housekeeping,Other (in KEGG)
RYR1,Other,Syndromic/developmental,0.456,0.0,0.016821,22.0,423.538,0.861658,0.8410084844356746,22.0,Muscle - Skeletal,Other-restricted,Other (in KEGG)
CDK2,Other,Not classified,0.485,0.61054,0.0,54.0,64.4682,16.6147,0.41795169143230265,54.0,Cells - EBV-transformed lymphocytes,Broad,PI3K-Akt signaling
PTGER3,Other,Not classified,0.579,0.37217,0.015133,28.0,73.0253,1.261975,0.7372490233928731,28.0,Uterus,Reproductive-restricted,Other (in KEGG)
ICAM1,Other,Not classified,0.618,0.035295,0.0,53.0,217.444,14.7022,0.541137422151303,53.0,Lung,Broad,NF-kB signaling
CDK4,Other,Not classified,0.642,0.062909,0.002808,54.0,154.326,46.039,0.2727201922573786,54.0,Cells - Cultured fibroblasts,Housekeeping,PI3K-Akt signaling
NOS2,Other,Not classified,0.755,0.0,0.012598,12.0,4.64759,0.5601240000000001,0.6999755560974025,12.0,Brain - Cortex,Brain-restricted,Other (in KEGG)
