gene,centrality_inv,kegg_inv,tau_pct,skin_top_inv,skin_z_pct,loeuf_pct,canonical,composite,cluster
PPP3CA,0.7596899224806202,0.2945736434108527,0.453125,0.5118110236220472,0.3858267716535433,0.05426356589147287,False,0.4098816545097561,3
PTGS2,0.16279069767441856,0.41860465116279066,0.765625,0.2755905511811023,0.2047244094488189,0.18604651162790697,False,0.33556363684917295,3
CDH2,0.937984496124031,0.7984496124031008,0.6953125,0.019685039370078705,0.015748031496062992,0.21705426356589147,True,0.4473723238265275,3
PTGER4,0.3914728682170543,0.7093023255813953,0.6328125,0.4251968503937008,0.4645669291338583,0.23255813953488372,False,0.47598493547681536,2
PIAS3,0.937984496124031,0.8798449612403101,0.234375,0.6141732283464567,0.7244094488188977,0.24031007751937986,False,0.6051828686748459,2
RDX,0.810077519379845,0.7635658914728682,0.4375,0.047244094488189003,0.07086614173228346,0.3333333333333333,False,0.4104311634010865,3
SPTLC2,0.5077519379844961,0.7984496124031008,0.34375,0.36220472440944884,0.3543307086614173,0.3798449612403101,False,0.45772199078312886,3
CCND1,0.7209302325581395,0.16666666666666663,0.4921875,0.9015748031496063,0.889763779527559,0.3953488372093023,True,0.5944119698518789,2
GUCY1A2,0.43410852713178294,0.6007751937984496,0.7578125,0.08661417322834641,0.08661417322834646,0.4108527131782946,False,0.39612954676087003,3
GAB1,0.18604651162790697,0.624031007751938,0.484375,0.5708661417322834,0.5118110236220472,0.4186046511627907,False,0.46595572264949436,2
EZR,0.810077519379845,0.6705426356589148,0.1953125,0.8700787401574803,0.8818897637795275,0.4263565891472868,True,0.6423762913538424,2
RYR1,0.32558139534883723,0.6705426356589148,0.890625,0.5708661417322834,0.44881889763779526,0.4418604651162791,False,0.5580490892490183,2
CDK2,0.937984496124031,0.48062015503875966,0.53125,0.7598425196850394,0.7480314960629921,0.4806201550387597,False,0.6563914703249303,2
PTGER3,0.36046511627906974,0.7441860465116279,0.8359375,0.6614173228346456,0.7637795275590551,0.5503875968992248,False,0.6526955183472706,1
ICAM1,0.937984496124031,0.48062015503875966,0.65625,0.4251968503937008,0.4566929133858268,0.5813953488372093,False,0.5896899606299213,2
